t_sec,elevation_deg,azimuth_deg,range_km,doppler_hz,fspl_db,snr_db
264,16.812262269298852,188.91275071740455,1063.0406415536763,-32611.751571157853,159.00159728399188,10.998402716008115
266,16.561076669722247,188.35474170464383,1072.918399616914,-32948.65430950137,159.08193377582893,10.91806622417107
268,16.311503436807993,187.80839950766327,1082.8945318721712,-33276.79529301968,159.1623231278469,10.83767687215311
270,16.063605718393998,187.27345365063348,1092.9662910327586,-33595.77231455023,159.24273526857343,10.757264731426574
272,15.81743468636056,186.7496266175591,1103.1312092888425,-33906.51760853792,159.32314334578433,10.676856654215669
274,15.573049754803158,186.23667611188674,1113.3862774232182,-34207.22523438443,159.40351719905868,10.596482800941317
276,15.330489293478708,185.73433212662107,1123.7291705917758,-34500.178015010526,159.48383300822292,10.516166991777084
278,15.089790881228378,185.24233955551645,1134.1574309510813,-34784.932312425175,159.5640667654023,10.435933234597712
280,14.850981942537397,184.76043815438913,1144.6688821554978,-35062.427102207206,159.64419744680498,10.35580255319502
282,14.614099297795246,184.28840128164998,1155.260780492827,-35330.7698532203,159.7242005111815,10.275799488818507
284,14.379160693069455,183.8259778768915,1165.9310822335137,-35592.2954562342,159.80405751710373,10.195942482896271
286,14.146179724047666,183.37292251974822,1176.6778149110576,-35847.24161921322,159.88375122009467,10.116248779905334
288,13.91518003873827,182.92902198051303,1187.4984201785908,-36093.654055610736,159.96326072371158,10.036739276288415
290,13.686167517872866,182.4940406004062,1198.3910494670224,-36333.900329245895,160.04257104753032,9.957428952469684
292,13.45914934579724,182.06775696454028,1209.3536992066845,-36567.463413846395,160.12166666082516,9.878333339174844
294,13.234125065240589,181.6499463894469,1220.3846472960263,-36795.28218599079,160.2005346229958,9.799465377004196
296,13.011104895679471,181.24041436988338,1231.4815625904478,-37015.32509674236,160.27915819496036,9.72084180503964
298,12.79008281020036,180.83894614036961,1242.6428348425566,-37229.99680034913,160.35752631319662,9.642473686803385
300,12.5710549045607,180.4453404308996,1253.866686903383,-37438.74057307473,160.43562719468912,9.564372805310882
302,12.354010712472533,180.0593932487466,1265.151622053842,-37642.4918283267,160.51345144605153,9.486548553948467
304,12.138950824937162,179.68092872841345,1276.4955132442856,-37839.14800966617,160.59098576609404,9.409014233905964
306,11.925860875976216,179.30975249498167,1287.8969637414427,-38031.14519030748,160.66822230002134,9.331777699978659
308,11.714724989417295,178.94567554860095,1299.354629861061,-38218.660322730175,160.74515387812045,9.254846121879552
310,11.505538501111973,178.58853550295447,1310.866522876503,-38399.54177713823,160.82176936371945,9.178230636280546
312,11.298282623589973,178.23815256871956,1322.4313905808692,-38576.246318932346,160.89806290413384,9.101937095866163
314,11.092941611848419,177.89435890464057,1334.047795064935,-38748.1545118313,160.9740277007092,9.0259722992908
316,10.889494550759597,177.55698441276004,1345.714576490402,-38916.193900604994,161.04965904566126,8.950340954338742
318,10.687931806040122,177.22588366580908,1357.429911996886,-39078.15288163137,161.12494821265847,8.875051787341533
320,10.488230579468397,176.90089509949743,1369.1927226141504,-39236.51280535032,161.19989155641298,8.800108443587021
322,10.290371419245844,176.58186819100305,1381.0017342189008,-39390.62271123034,161.27448439232836,8.725515607671639
324,10.094330277556047,176.26865026981199,1392.85594941476,-39541.40566090991,161.3487239846275,8.651276015372503
